Turbidez,Velocidade,Qualidade da Imagem
222,11,58
75,3,96
189,3,92
104,6,90
300,11,46
55,4,96
159,15,60
93,11,84
142,7,84
151,6,86
98,13,79
140,16,64
136,2,96
202,15,51
289,15,29
181,10,70
209,19,35
88,13,81
289,5,76
53,2,99
241,6,77
214,4,85
207,15,47
270,10,56
246,9,61
171,19,46
142,5,89
151,8,81
76,19,77
115,7,87
246,10,61
99,4,94
214,19,31
175,1,96
233,17,33
228,6,79
246,14,41
270,8,65
278,9,56
115,19,63
268,12,48
149,8,79
183,6,80
238,19,23
77,18,78
189,20,38
235,4,85
151,15,63
280,8,64
110,14,74
270,3,86
242,10,60
290,18,13
258,15,34
101,12,79
67,5,94
295,16,22
297,2,91
63,6,94
108,11,79
289,13,39
231,17,34
268,12,48
297,9,58
163,19,49
188,0,99
288,14,31
211,1,98
80,6,92
56,7,93
266,19,14
143,17,58
217,18,33
155,1,97
291,11,46
192,19,38
57,9,91
59,2,98
221,17,39
287,19,9
258,18,23
60,0,100
206,20,32
142,8,81
157,12,68
54,6,94
111,15,73
81,9,87
290,19,10
148,9,78
176,9,73
71,8,91
264,4,83
216,13,53
201,9,69
152,4,90
88,3,96
147,12,70
145,18,57
193,3,92
